id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
65,8.55411063835043E18,0.52,0.5,0.04,0.057,34.0,1.6,24.1,13.7,0.05931209900137543,0.11505052644573319,0.23367472444848403
66,8.55411063835043E18,0.64,0.4,0.09,0.097,15.0,1.9,21.8,2.7,0.07496969172614107,0.10097211797549557,0.25091150142777774
67,8.55411063835043E18,0.63,0.4,0.09,0.024,19.0,0.3,23.8,4.5,0.07742877654179486,0.10097211797549557,0.2558296710590853
68,8.55411063835043E18,0.52,0.5,0.04,0.057,19.0,0.3,23.8,4.5,0.1698209591049652,0.11505052644573319,0.4546924446556636
69,8.55411063835043E18,0.64,0.4,0.08,0.097,26.0,0.7,20.3,3.6,0.08094260084300657,0.0913470139618715,0.2532322156478847
70,8.55411063835043E18,0.64,0.5,0.04,0.093,15.0,1.9,21.8,2.7,0.1102695961602319,0.11505052644573319,0.335589718766197
71,8.55411063835043E18,0.63,0.4,0.09,0.097,19.0,0.3,23.8,4.5,0.07742877654179486,0.10097211797549557,0.2558296710590853
72,8.55411063835043E18,0.64,0.4,0.09,0.097,19.0,1.9,21.8,2.7,0.18264099136129514,0.10097211797549557,0.4662541006980858
73,8.55411063835043E18,0.64,0.7,0.04,0.093,19.0,0.7,20.3,3.6,0.08770875273050072,0.08544229138521803,0.26085979684621946
74,8.55411063835043E18,0.52,0.5,0.04,0.057,34.0,0.3,23.8,4.5,0.09170130860106689,0.11505052644573319,0.29845314364786696
75,8.55411063835043E18,0.63,0.7,0.04,0.093,15.0,0.3,23.8,4.5,0.06945091475294063,0.08544229138521803,0.22434412089109929
76,8.55411063835043E18,0.64,0.4,0.08,0.097,26.0,0.3,23.8,4.5,0.08520487030231833,0.0913470139618715,0.26175675456650815
77,8.55411063835043E18,0.64,0.4,0.09,0.024,19.0,1.6,24.1,13.7,0.224335951885748,0.10097211797549557,0.5496440217469916
78,8.55411063835043E18,0.52,0.7,0.04,0.057,34.0,1.6,24.1,13.7,0.06605388661386485,0.08544229138521803,0.21755006461294774
79,8.55411063835043E18,0.64,0.7,0.04,0.093,19.0,0.3,23.8,12.2,0.26979079195659333,0.08544229138521803,0.6250238752984048
80,8.55411063835043E18,0.64,0.4,0.04,0.093,15.0,0.3,23.8,4.5,0.06150077336477306,0.21428801754637095,0.33728956427591705
81,8.55411063835043E18,0.63,0.7,0.04,0.093,19.0,0.3,23.8,4.5,0.061316982964840325,0.08544229138521803,0.20807625731489868
82,8.55411063835043E18,0.52,0.4,0.09,0.097,19.0,0.3,23.8,4.5,0.2153915309505107,0.10097211797549557,0.531755179876517
83,8.55411063835043E18,0.64,0.4,0.04,0.057,34.0,1.6,24.1,13.7,0.2680169176383779,0.21428801754637095,0.7503218528231268
84,8.55411063835043E18,0.63,0.7,0.09,0.024,19.0,0.3,23.8,4.5,0.15246096992837824,0.16508220682542374,0.4700041466821802
85,8.55411063835043E18,0.52,0.5,0.09,0.097,19.0,0.3,23.8,4.5,0.24265774010198893,0.12318982219183158,0.6085053023958095
86,8.55411063835043E18,0.64,0.7,0.04,0.057,34.0,1.6,24.1,13.7,0.2206380821711703,0.08544229138521803,0.5267184557275586
87,8.55411063835043E18,0.64,0.7,0.04,0.093,15.0,0.3,23.8,4.5,0.06401066201671604,0.08544229138521803,0.2134636154186501
88,8.55411063835043E18,0.64,0.4,0.04,0.093,34.0,1.6,24.1,13.7,0.2680169176383779,0.21428801754637095,0.7503218528231268
89,8.55411063835043E18,0.64,0.4,0.08,0.057,34.0,1.6,24.1,13.7,0.20998407443941855,0.0913470139618715,0.5113151628407087
90,8.55411063835043E18,0.52,0.5,0.04,0.097,26.0,1.6,24.1,13.7,0.14940559938530126,0.11505052644573319,0.4138617252163357
