id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,daily_water_loss_mm,max_water_capacity,max_toxicity_penalty,error_yield,error_pesticide,error_water,fitness
926,4.750742346495651E18,0.5892538334732648,0.6929968853074606,0.028039941890795256,10.906894979735606,112.31410569231666,0.626313218990091,0.007050104569504912,0.05912736995624696,0.08690877313325013,0.2165371887845462
929,3.993681220280917E18,0.5426145650947777,0.7142306759908182,0.031869670869968586,9.771853656712057,112.97886867581636,0.6367921132384713,0.010828684293519818,0.015313563441905487,0.10476551362723388,0.22836592000433753
930,4.750742346495651E18,0.5426145650947777,0.7142306759908182,0.031869670869968586,9.771853656712057,112.97886867581636,0.6367921132384713,0.010838275304690736,0.014503321989952895,0.10476551362723388,0.22765158866409413
928,6.583393530656029E18,0.5426145650947777,0.7142306759908182,0.031869670869968586,9.771853656712057,112.97886867581636,0.6367921132384713,0.010859928521276997,0.014239993518068352,0.10476551362723388,0.2276047923580722
931,1.6398957382076682E18,0.5426145650947777,0.7142306759908182,0.031869670869968586,9.771853656712057,112.97886867581636,0.6367921132384713,0.010820086031745134,0.014219737481769553,0.10476551362723388,0.22718611142645478
933,3.993681220280917E18,0.6638216362103568,0.8015813901231813,0.03236014965259274,10.952376481599766,102.90367927136208,0.6502575277099246,0.00964175727298897,0.0751498946686112,0.08360877699183854,0.2551762443903395
934,4.750742346495651E18,0.6638216362103568,0.8015813901231813,0.03236014965259274,10.952376481599766,102.90367927136208,0.6502575277099246,0.009650384897752126,0.07251660994976496,0.08360877699183854,0.2526292359191248
932,6.583393530656029E18,0.6638216362103568,0.8015813901231813,0.03236014965259274,10.952376481599766,102.90367927136208,0.6502575277099246,0.009637854733339783,0.07326608329282132,0.08360877699183854,0.2532534076180577
935,1.6398957382076682E18,0.6638216362103568,0.8015813901231813,0.03236014965259274,10.952376481599766,102.90367927136208,0.6502575277099246,0.009635091039459922,0.07316480311132717,0.08360877699183854,0.2531244904977649
936,6.583393530656029E18,0.4664162826119787,0.6163693180495036,0.03975204639590457,12.328083073944274,115.27876805589568,0.5586959301173409,0.02047302606534982,0.03279452276778469,0.10611989420377413,0.343644677625057
937,3.993681220280917E18,0.4664162826119787,0.6163693180495036,0.03975204639590457,12.328083073944274,115.27876805589568,0.5586959301173409,0.020473958235535213,0.033381947820450494,0.10611989420377413,0.3442414243795767
938,4.750742346495651E18,0.4664162826119787,0.6163693180495036,0.03975204639590457,12.328083073944274,115.27876805589568,0.5586959301173409,0.020467600600514,0.03443526170798883,0.10611989420377413,0.34523116191690295
939,1.6398957382076682E18,0.4664162826119787,0.6163693180495036,0.03975204639590457,12.328083073944274,115.27876805589568,0.5586959301173409,0.020481170728380217,0.0346378220709773,0.10611989420377413,0.3455694235585536
940,6.583393530656029E18,0.5948764989270172,0.7079829462329539,0.03187749738444634,11.321225921725752,109.39583380762937,0.588028363599358,0.006853178824996923,0.008831631826284114,0.08653117506844181,0.16389459514469515
942,4.750742346495651E18,0.5948764989270172,0.7079829462329539,0.03187749738444634,11.321225921725752,109.39583380762937,0.588028363599358,0.006822786925846304,0.010411602657592021,0.08653117506844181,0.16517064698449685
941,3.993681220280917E18,0.5948764989270172,0.7079829462329539,0.03187749738444634,11.321225921725752,109.39583380762937,0.588028363599358,0.006845384002794367,0.008953168044077227,0.08653117506844181,0.1639381831404627
943,1.6398957382076682E18,0.5948764989270172,0.7079829462329539,0.03187749738444634,11.321225921725752,109.39583380762937,0.588028363599358,0.006838734056240858,0.010209042294603711,0.08653117506844181,0.16512755792545408
947,1.6398957382076682E18,0.658426364252772,0.8026461576765329,0.03243678859559139,11.115354768704796,107.87578780497392,0.6442083016978737,0.009089912896324912,0.07472451790633611,0.08524936448407623,0.25087301135366147
946,4.750742346495651E18,0.658426364252772,0.8026461576765329,0.03243678859559139,11.115354768704796,107.87578780497392,0.6442083016978737,0.009072646683833993,0.07472451790633611,0.08524936448407623,0.2507003492287523
