id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
183,2.438347332235726E18,0.45,0.85,0.5,6.4,0.095,0.25,0.04613261081166982,0.23066305405834908
184,2.438347332235726E18,0.45,0.85,0.1,6.4,0.02,0.3,0.04691303937464118,0.23456519687320593
185,2.438347332235726E18,0.45,0.85,0.1,2.7,0.02,0.25,0.045060114568136495,0.22530057284068247
186,2.438347332235726E18,0.45,0.75,0.1,2.7,0.095,0.25,0.1406390704484218,0.703195352242109
187,2.438347332235726E18,0.35,0.85,0.1,6.4,0.05,0.3,0.06092386579423101,0.30461932897115507
188,2.438347332235726E18,0.45,0.85,0.25,6.4,0.095,0.25,0.04389387980527929,0.21946939902639645
189,2.438347332235726E18,0.45,0.85,0.25,6.8,0.05,0.25,0.04409427957051536,0.2204713978525768
190,2.438347332235726E18,0.45,0.85,0.2,6.4,0.045,0.25,0.043619614032736974,0.21809807016368488
191,2.438347332235726E18,0.45,0.85,0.1,2.7,0.05,0.25,0.04307453256653549,0.21537266283267745
192,2.438347332235726E18,0.45,0.85,0.25,6.4,0.05,0.25,0.04389387980527929,0.21946939902639645
193,2.438347332235726E18,0.45,0.85,0.1,2.7,0.05,0.35,0.05026881419333809,0.2513440709666904
194,2.438347332235726E18,0.45,0.85,0.1,6.8,0.05,0.35,0.04837762376349498,0.24188811881747488
195,2.438347332235726E18,0.45,0.85,0.1,8.2,0.095,0.25,0.044935962198484704,0.2246798109924235
196,2.438347332235726E18,0.45,0.85,0.1,2.7,0.055,0.25,0.04302297943475754,0.21511489717378768
197,2.438347332235726E18,0.45,0.85,0.1,6.8,0.055,0.25,0.043506454238144705,0.21753227119072352
198,2.438347332235726E18,0.45,0.85,0.1,6.4,0.045,0.2,0.044894704047281485,0.22447352023640743
199,2.438347332235726E18,0.45,0.85,0.1,6.4,0.095,0.2,0.044894704047281485,0.22447352023640743
200,2.438347332235726E18,0.45,0.85,0.1,6.4,0.09,0.25,0.04325475557169416,0.21627377785847082
201,2.438347332235726E18,0.45,0.85,0.1,6.4,0.055,0.25,0.04325475557169416,0.21627377785847082
202,2.438347332235726E18,0.45,0.85,0.45,6.4,0.095,0.25,0.04557452562178793,0.22787262810893966
203,2.438347332235726E18,0.3,0.85,0.1,6.8,0.095,0.25,0.05761223428929668,0.2880611714464834
204,2.438347332235726E18,0.45,0.85,0.1,6.8,0.035,0.25,0.043506454238144705,0.21753227119072352
205,2.438347332235726E18,0.45,0.85,0.1,6.4,0.035,0.25,0.04327797546093034,0.2163898773046517
206,2.438347332235726E18,0.45,0.85,0.1,2.7,0.035,0.25,0.043187971724018996,0.215939858620095
207,2.438347332235726E18,0.35,0.85,0.1,6.4,0.045,0.25,0.05180803809141937,0.25904019045709686
208,2.438347332235726E18,0.35,0.85,0.1,2.7,0.05,0.25,0.05255618501085314,0.2627809250542657
209,2.438347332235726E18,0.35,0.85,0.1,2.7,0.035,0.25,0.052330097142463804,0.261650485712319
210,2.438347332235726E18,0.45,0.85,0.1,2.7,0.09,0.25,0.04291755553243994,0.21458777766219972
211,2.438347332235726E18,0.3,0.85,0.1,6.4,0.095,0.25,0.05761223428929668,0.2880611714464834
212,2.438347332235726E18,0.45,0.85,0.25,6.4,0.09,0.25,0.04389387980527929,0.21946939902639645
213,2.438347332235726E18,0.45,0.85,0.25,6.4,0.035,0.25,0.04391218628696569,0.21956093143482847
214,2.438347332235726E18,0.45,0.7,0.1,6.4,0.095,0.25,0.1968845412571112,0.984422706285556
215,2.438347332235726E18,0.45,0.85,0.45,2.7,0.035,0.25,0.04613462367736765,0.23067311838683824
216,2.438347332235726E18,0.45,0.85,0.1,2.7,0.015,0.25,0.04800848015054233,0.24004240075271163
217,2.438347332235726E18,0.45,1.0,0.1,6.4,0.095,0.25,0.16514807342434942,0.8257403671217471
