id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
101,1.276821374153433E18,0.4,0.85,0.15,3.4,0.095,0.15,0.04400960641177331,0.22004803205886656
102,1.276821374153433E18,0.4,0.85,0.25,3.3,0.025,0.15,0.04412851159488526,0.2206425579744263
103,1.276821374153433E18,0.55,0.85,0.2,3.4,0.025,0.15,0.07503768640977959,0.37518843204889796
104,1.276821374153433E18,0.4,0.85,0.15,3.4,0.06,0.15,0.04400960641177331,0.22004803205886656
105,1.276821374153433E18,0.4,0.85,0.2,3.3,0.095,0.15,0.04384101894775744,0.2192050947387872
106,1.276821374153433E18,0.4,0.85,0.25,3.3,0.085,0.15,0.04405099251465675,0.22025496257328375
107,1.276821374153433E18,0.4,0.85,0.2,3.3,0.08,0.15,0.04384101894775744,0.2192050947387872
108,1.276821374153433E18,0.4,0.85,0.15,3.4,0.08,0.15,0.04400960641177331,0.22004803205886656
109,1.276821374153433E18,0.4,0.85,0.2,3.4,0.06,0.15,0.04384101894775744,0.2192050947387872
110,1.276821374153433E18,0.4,0.85,0.4,3.4,0.06,0.15,0.04685560818850031,0.23427804094250157
111,1.276821374153433E18,0.4,0.85,0.4,3.4,0.085,0.15,0.04685560818850031,0.23427804094250157
112,1.276821374153433E18,0.4,0.85,0.4,3.4,0.095,0.15,0.04685560818850031,0.23427804094250157
113,1.276821374153433E18,0.4,0.85,0.2,3.3,0.025,0.15,0.04393034718336264,0.2196517359168132
114,1.276821374153433E18,0.4,0.85,0.2,3.4,0.025,0.45,0.08089103472519034,0.4044551736259517
115,1.276821374153433E18,0.4,0.85,0.2,3.3,0.085,0.15,0.04384101894775744,0.2192050947387872
116,1.276821374153433E18,0.4,0.85,0.15,3.3,0.085,0.15,0.04400960641177331,0.22004803205886656
117,1.276821374153433E18,0.4,0.85,0.2,3.3,0.09,0.15,0.04384101894775744,0.2192050947387872
118,1.276821374153433E18,0.4,0.85,0.2,3.4,0.09,0.15,0.04384101894775744,0.2192050947387872
119,1.276821374153433E18,0.4,0.85,0.2,3.3,0.09,0.25,0.04849803350981536,0.2424901675490768
120,1.276821374153433E18,0.4,0.8,0.2,3.3,0.08,0.15,0.08510612297335565,0.42553061486677823
121,1.276821374153433E18,0.4,0.85,0.2,3.3,0.09,0.1,0.04713884633284313,0.23569423166421566
122,1.276821374153433E18,0.4,0.85,0.2,3.3,0.06,0.15,0.04384101894775744,0.2192050947387872
123,1.276821374153433E18,0.4,0.85,0.2,3.4,0.08,0.15,0.04384101894775744,0.2192050947387872
124,1.276821374153433E18,0.4,0.95,0.2,3.4,0.085,0.15,0.1098394680245796,0.549197340122898
125,1.276821374153433E18,0.4,0.85,0.2,3.3,0.095,0.2,0.04433243074718046,0.2216621537359023
126,1.276821374153433E18,0.4,0.75,0.2,3.4,0.08,0.15,0.1396148468968641,0.6980742344843205
127,1.276821374153433E18,0.4,0.85,0.2,3.4,0.09,0.2,0.04433243074718046,0.2216621537359023
